City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
323,ixtapa,20.7,-105.2,30.13,79,74,2.24,MX,1699653746
324,weno,7.4515,151.8468,26.97,94,100,4.12,FM,1699653234
325,ola,59.5833,151.2833,-17.11,83,5,5.84,RU,1699653746
326,canet-en-roussillon,42.7,3.0167,14.25,65,75,6.69,FR,1699653747
327,benghazi,32.1167,20.0667,22.37,65,2,3.32,LY,1699653747
328,tawau,4.2498,117.8871,25.07,85,95,1.71,MY,1699653747
329,saint-mandrier-sur-mer,43.078,5.929,12.92,69,0,8.23,FR,1699653748
330,praia,14.9215,-23.5087,25.3,65,40,5.66,CV,1699653748
331,bebedja,8.6761,16.566,24.33,76,80,2.12,TD,1699653749
332,minas de marcona,-15.2119,-75.1103,16.89,79,58,6.3,PE,1699653196
333,katsuura,35.1333,140.3,15.01,73,86,7.73,JP,1699653026
334,mopti,14.6667,-4.0,29.73,19,100,2.83,ML,1699653749
335,saynshand,44.8824,110.1163,-17.94,87,4,1.73,MN,1699653750
336,akersberga,59.4794,18.2997,7.81,94,100,3.17,SE,1699653750
337,bowen,-20.0167,148.2333,24.17,67,50,4.91,AU,1699653751
338,lyubim,58.3625,40.6843,3.5,86,90,3.08,RU,1699653751
339,acajutla,13.5928,-89.8275,29.64,63,4,2.37,SV,1699653751
340,vilyuchinsk,52.9306,158.4028,0.15,98,100,0.7,RU,1699653030
341,langzhong,31.5504,105.9938,16.6,83,100,2.57,CN,1699653752
342,srandakan,-7.9386,110.2506,24.42,87,97,1.16,ID,1699653752
343,rio grande,-32.035,-52.0986,18.06,86,88,9.07,BR,1699653737
344,midland,31.9974,-102.0779,13.78,63,100,3.6,US,1699653257
345,lianjiang,21.6467,110.2817,23.05,92,8,2.71,CN,1699653753
346,caldwell,43.6629,-116.6874,13.74,42,0,1.54,US,1699653753
347,tenenkou,14.4572,-4.9169,29.17,18,100,3.89,ML,1699653753
348,pindushi,62.9152,34.58,3.19,98,100,2.31,RU,1699653754
349,sucua,-2.4667,-78.1667,26.41,65,75,4.12,EC,1699653755
350,guanambi,-14.2233,-42.7814,29.79,31,9,5.27,BR,1699653756
351,shache,38.4167,77.2406,6.51,52,0,2.68,CN,1699653247
352,taounate,34.5,-4.8333,18.02,75,44,0.7,MA,1699653756
353,phang nga,8.4509,98.5298,25.02,94,99,1.25,TH,1699653757
354,nuuk,64.1835,-51.7216,-6.18,79,69,7.6,GL,1699653757
355,bojano,41.4857,14.4729,10.0,81,100,3.04,IT,1699653757
356,puerto real,36.5282,-6.1901,18.09,82,75,1.03,ES,1699653758
357,lorengau,-2.0226,147.2712,27.43,85,98,3.53,PG,1699653057
358,tal'menka,53.8183,83.5677,1.88,94,100,2.41,RU,1699653758
359,birjand,32.8663,59.2211,6.26,56,0,3.09,IR,1699653758
360,songea,-10.6833,35.65,23.07,52,96,2.81,TZ,1699653759
361,hammerfest,70.6634,23.6821,2.25,80,75,2.06,NO,1699653759
362,mount pearl,47.5166,-52.7813,2.96,90,75,10.29,CA,1699653760
